Id;Model;Price;Mfg_Year;Sale_Year;Sale_Month;KM;Fuel_Type;HP;Met_Color;Color;Automatic;CC;Doors;Cylinders;Gears;Quarterly_Tax;Auto_Drive;Weight;Control_Conce;ABS;Airbag_1;Airbag_2;Automatic_airco;Boardcomputer;Seat_Heater;Sport_Model;Backseat_Divider;Leather Seats;Parking_Assistant
320;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;5271550;2016;2018;11;56259;Gasolina;86;0;Red;0;1300;3;4;5;65550;0;1015;1;0;1;1;0;0;0;0;1;0;0
321;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4859250;2016;2018;11;72522;Gasolina;110;1;Green;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;0;1;0;0
322;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;5420343;2016;2018;11;86714;Gasolina;110;1;Silver;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;0;0;0
323;T-Delux 3drs 13i-16V 2/3-Doors;5016000;2016;2018;11;66550;Gasolina;86;0;Red;0;1332;3;4;5;65550;0;1010;0;0;1;1;0;0;0;0;0;0;0
324;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4408000;2016;2018;11;117609;Gasolina;86;0;Silver;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;0;0
325;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;5290312;2016;2018;11;44944;Gasolina;110;1;Green;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;0;0;0
326;T-Delux 1.6 16V HATCHB LINEA LUNA 2/3-Doors;5185765;2015;2018;11;89983;Gasolina;110;0;Red;0;1600;3;4;5;80750;0;1055;1;1;1;1;0;0;1;0;1;1;0
327;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;4929787;2015;2018;11;67266;Gasolina;86;1;Blue;0;1300;5;4;5;65550;0;1035;1;0;1;0;0;0;0;1;1;0;0
328;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4488750;2015;2018;11;70124;Gasolina;110;1;Blue;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;0;0
329;T-Delux 1.3 16V HATCHB LINEA TERRA AUT3 2/3-Doors;4651200;2015;2018;11;36000;Gasolina;86;0;Green;1;1300;3;4;5;65550;0;1045;1;0;1;0;0;0;0;0;1;0;0
330;T-Delux 1.3 Linea Terra Hatchback 2/3-Doors;4761400;2015;2018;11;71054;Gasolina;86;0;Red;1;1300;3;4;5;65550;0;1045;1;0;0;0;0;0;0;0;0;0;0
331;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4077400;2015;2018;11;128960;Gasolina;110;1;Red;0;1600;5;4;5;80750;0;1070;1;0;1;0;0;0;0;1;1;0;0
332;T-Delux 2.0 DSL LIFTB LINEA TERRA 4/5-Doors;3822562;2015;2018;11;124910;Diesel;72;0;Red;0;2000;5;4;5;175750;0;1135;1;1;1;1;0;0;0;1;1;0;0
333;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;3821850;2015;2018;11;112307;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1070;1;0;1;0;0;0;0;0;1;0;0
334;T-Delux 1.6i-16 SPORTS TC 2/3-Doors;4202800;2015;2018;11;125400;Gasolina;110;0;White;0;1600;3;4;5;65550;0;1050;0;0;0;0;0;0;0;0;0;0;0
335;T-Delux 1.6 16V VVT I LIFTB LUNA 4/5-Doors;10730499;2018;2019;12;38665;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;1;0
336;T-Delux 1.6 16V VVT I HATCHB TERRA 2/3-Doors;8613270;2018;2019;12;41754;Gasolina;110;0;Red;0;1600;3;4;5;65550;0;1040;1;1;1;1;0;1;0;0;1;0;0
337;T-Delux 1.6-16v Linea Terra LB 4/5-Doors;9895912;2018;2019;12;53350;Gasolina;110;0;Black;0;1600;5;4;5;80750;0;1075;1;1;1;0;0;0;0;0;0;0;0
338;T-Delux 1.4 LB LINEA TERRA 4/5-Doors;9857556;2018;2019;12;45713;Gasolina;97;1;Blue;0;1400;5;4;5;18050;0;1085;1;1;1;0;0;0;0;0;0;0;0
339;T-Delux 1.6 HB LINEA TERRA 2/3-Doors;13933935;2017;2019;12;49568;Gasolina;110;1;Grey;0;1600;3;4;5;18050;0;1105;1;1;1;0;1;0;1;0;0;0;0
340;T-Delux 1.6 16V VVT I LIFTB SOL 4/5-Doors;9196926;2017;2019;12;50400;Gasolina;110;0;Grey;0;1600;5;4;5;80750;0;1080;1;1;1;1;0;1;1;0;1;0;0
341;T-Delux 1.6 16V VVT I LIFTB TERRA 4/5-Doors;8051535;2017;2019;12;36000;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
342;T-Delux 1.9 D LIFTB TERRA 4/5-Doors;7720650;2017;2019;12;115046;Diesel;69;1;Blue;0;1900;5;4;5;175750;0;1140;1;1;1;1;0;1;0;0;1;0;0
343;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6869806;2017;2019;12;49432;Gasolina;110;1;Blue;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;0;1;0;0
344;T-Delux 1.9 D SEDAN TERRA 4/5-Doors;4541760;2017;2019;12;198167;Diesel;69;0;Red;0;1900;4;4;5;175750;0;1095;1;1;1;1;0;0;0;0;1;0;0
345;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6657600;2016;2019;12;37111;Gasolina;110;1;Red;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
346;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;7018481;2016;2019;12;42102;Gasolina;110;1;Silver;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
347;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6175950;2016;2019;12;62396;Gasolina;110;0;White;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;1;0
348;T-Delux 1.3 16V LIFTB LINEA LUNA 4/5-Doors;6495328;2016;2019;12;105942;Gasolina;86;0;Red;0;1300;5;4;5;65550;0;1040;1;1;1;1;0;0;1;0;1;1;0
349;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6328781;2016;2019;12;73172;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
350;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;6049600;2016;2019;12;55061;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
351;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6427700;2016;2019;12;36658;Gasolina;110;0;Black;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
352;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6395400;2016;2019;12;62222;Gasolina;110;0;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;0;0
353;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;5411200;2016;2019;12;46000;Gasolina;86;0;Green;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;1;1;0;0
354;T-Delux 1.6 16v Liftback Linea Luna 4/5-Doors;6067252;2016;2019;12;43000;Gasolina;110;0;Green;0;1600;5;4;5;80750;0;1075;0;1;1;0;0;0;0;0;0;1;0
355;T-Delux 2.0 DSL LIFTB LINEA TERRA 4/5-Doors;5945218;2016;2019;12;147636;Diesel;72;0;White;0;2000;5;4;5;175750;0;1135;1;1;1;1;0;0;0;0;1;0;0
356;T-Delux 1.3 16V HATCHB S 2/3-Doors;5779800;2016;2019;12;52800;Gasolina;86;1;Black;0;1300;3;4;5;65550;0;1015;1;0;1;0;0;0;0;1;1;0;0
357;T-Delux 2.0 DSL LIFTB LINEA TERRA 4/5-Doors;5437800;2016;2019;12;132393;Diesel;72;0;Red;0;2000;5;4;5;175750;0;1135;1;1;1;1;0;0;0;1;1;0;0
358;T-Delux 1.6 16V SEDAN LINEA LUNA 4/5-Doors;4803200;2016;2019;12;88667;Gasolina;110;1;Red;0;1600;4;4;5;65550;0;1040;1;1;1;1;0;0;1;0;1;0;0
359;T-Delux Linea Luna 1.6i 16V 2/3-Doors;5739187;2016;2019;12;82115;Gasolina;110;1;Red;0;1600;3;4;5;80750;0;1055;1;0;1;0;0;0;0;0;0;0;0
360;T-Delux 1.6 Linea Terra Comfort 4/5-Doors;4987500;2016;2019;12;61504;Gasolina;110;1;Green;0;1600;4;4;5;65550;0;1035;0;1;1;0;0;0;0;0;0;0;0
361;T-Delux 1.3 LIN. Terra 2/3-Doors;4424625;2016;2019;12;104000;Gasolina;86;1;Green;0;1300;3;4;5;18050;0;1015;0;0;1;0;0;0;0;0;0;0;0
362;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4471080;2015;2019;12;72328;Gasolina;110;1;Silver;0;1600;5;4;5;80750;0;1075;1;0;1;0;0;0;1;0;1;0;0
363;T-Delux 2.0 D Linea Terra Liftback 4/5-Doors;5369875;2015;2019;12;137178;Diesel;90;1;Silver;0;2000;5;4;5;175750;0;1135;0;0;1;0;0;0;0;0;0;0;0
364;T-Delux 1.3 16V HATCHB S 2/3-Doors;4358600;2015;2019;12;111602;Gasolina;86;1;Black;0;1300;3;4;5;65550;0;1015;1;0;1;0;0;0;0;1;1;0;0
365;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4358600;2015;2019;12;81930;Gasolina;110;0;Blue;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
366;T-Delux 1.6 16V HATCHBACK LINEA LUNA 2/3-Doors;4350240;2015;2019;12;59815;Gasolina;110;1;Silver;0;1587;3;4;5;80750;0;1055;0;0;1;1;0;0;1;0;0;0;0
367;T-Delux 1.3i-16v Linea Terra 5d 4/5-Doors;4522000;2015;2019;12;90345;Gasolina;86;1;Silver;0;1300;5;4;5;65550;0;1035;0;0;1;0;0;0;0;0;0;0;0
368;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;3664387;2015;2019;12;42000;Gasolina;110;1;Red;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
369;T-Delux 1.6 16V LIFTBACK LINEA LUNA 4/5-Doors;3987506;2015;2019;12;68000;Gasolina;110;1;Black;0;1600;5;4;5;80750;0;1075;1;0;1;0;0;0;0;0;0;0;0
370;T-Delux 2.0 D Linea Terra Liftback 4/5-Doors;4493737;2015;2019;12;137741;Diesel;90;1;Blue;0;2000;5;4;5;175750;0;1135;1;0;1;0;0;0;0;0;0;0;0
371;T-Delux 1.3 Linea Terra 3 drs 2/3-Doors;4229400;2015;2019;12;102300;Gasolina;86;1;Blue;0;1300;3;4;5;65550;0;1015;0;0;1;0;0;0;0;0;0;0;0
372;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;3990000;2015;2019;12;109263;Gasolina;110;0;Grey;0;1600;5;4;5;80750;0;1070;1;0;1;0;0;0;0;0;0;0;0
373;T-Delux 2.0 DSL LIFTB LINEA TERRA 4/5-Doors;2872800;2015;2019;12;217764;Diesel;72;1;Green;0;2000;5;4;5;175750;0;1135;1;1;1;1;0;0;0;0;1;0;0
374;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;3363237;2015;2019;12;145996;Gasolina;110;0;Grey;0;1600;4;4;5;65550;0;1035;1;1;1;0;0;0;0;0;0;0;0
375;T-Delux 1.6 16V VVT I LIFTB SOL 4/5-Doors;11161443;2018;2019;13;45886;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1080;1;1;1;1;0;1;1;0;1;0;0
376;T-Delux 2.0 D4D LIFTB SOL 4/5-Doors;9757473;2018;2019;13;179860;Diesel;90;1;Blue;0;2000;5;4;5;199500;0;1205;1;1;1;1;0;1;1;0;1;0;0
377;T-Delux 1.6 16V VVT I LIFTB LUNA 4/5-Doors;9399870;2018;2019;13;49500;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
378;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;9437668;2018;2019;13;74846;Gasolina;97;1;Black;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;1;0
379;T-Delux 1.6 16V VVT I WAGON TERRA Stationwagen;9030168;2018;2019;13;47350;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
380;T-Delux 1.4 16V VVT I HATCHB SOL 2/3-Doors;8228828;2017;2019;13;73175;Gasolina;97;1;Silver;0;1400;3;4;5;65550;0;1030;1;1;1;1;0;1;1;0;1;0;0
381;T-Delux 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors;8168860;2017;2019;13;36000;Gasolina;110;1;Green;1;1600;3;4;5;80750;0;1070;1;1;1;1;0;0;0;0;1;0;0
382;T-Delux 1.6 LB LINEA SOL 4/5-Doors;8202371;2017;2019;13;81905;Gasolina;110;1;Green;0;1600;5;4;5;18050;0;1105;1;1;1;0;0;0;1;0;0;0;0
383;T-Delux 2.0 DSL LIFTB LINEA TERRA 4/5-Doors;5381987;2017;2019;13;137000;Diesel;72;1;Blue;0;2000;5;4;5;175750;0;1135;0;1;1;1;0;0;0;1;1;0;0
384;T-Delux 1.6 16V HATCHB G6 2/3-Doors;7035343;2016;2019;13;54554;Gasolina;110;1;Black;0;1600;3;4;6;80750;0;1065;1;1;1;1;0;0;1;1;1;1;0
385;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;7294753;2016;2019;13;22705;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
386;T-Delux 1.3 16V LIFTB LINEA LUNA 4/5-Doors;6877406;2016;2019;13;61149;Gasolina;86;1;Black;0;1300;5;4;5;65550;0;1040;1;1;1;1;0;0;1;0;1;1;0
387;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6172031;2016;2019;13;51712;Gasolina;110;0;Red;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;1;0
388;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;5264900;2016;2019;13;87821;Gasolina;86;1;Grey;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;0;1;1;0
389;T-Delux 1.6 4/5-Doors;5557500;2016;2019;13;82254;Gasolina;110;0;Red;0;1600;5;4;5;65550;0;1050;1;1;1;0;0;0;0;0;0;0;0
390;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;4753800;2016;2019;13;69022;Gasolina;86;1;Black;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;1;1;0;0
391;T-Delux 1.3 LB LINEA TERRA 4/5-Doors;4531500;2016;2019;13;80000;Gasolina;86;0;Green;0;1300;5;4;5;18050;0;1015;1;1;1;0;0;0;0;0;0;0;0
392;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4909600;2015;2019;13;67100;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
393;T-Delux 1.6 16V WAGON LINEA TERRA Stationwagen;4752280;2015;2019;13;74573;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1085;1;1;1;1;0;0;0;1;1;0;0
394;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;5203530;2015;2019;13;99374;Gasolina;86;1;Blue;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;0;1;0;0
395;T-Delux 1.6 VVTi Linea Luna 2/3-Doors;4591350;2015;2019;13;58000;Gasolina;110;0;Red;0;1600;3;4;5;80750;0;1055;0;1;1;0;0;0;0;0;0;1;0
396;T-Delux 1.3 16V HATCHB G6 2/3-Doors;4332000;2015;2019;13;20544;Gasolina;86;1;Blue;0;1300;3;4;5;65550;0;1025;1;1;1;1;0;0;1;1;1;0;0
397;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4471080;2015;2019;13;78120;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;0;0
398;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4690767;2015;2019;13;88500;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1075;0;1;1;1;0;0;1;0;1;0;0
399;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;3954375;2015;2019;13;71186;Gasolina;110;0;Green;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
400;T-Delux 1.3 16V SEDAN LINEA TERRA 4/5-Doors;4522000;2015;2019;13;43622;Gasolina;86;1;Grey;0;1300;4;4;5;65550;0;1000;1;0;1;0;0;0;0;0;0;0;0
401;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4123095;2015;2019;13;101773;Gasolina;110;0;Grey;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
402;T-Delux 1.6 16V HATCHB LINEA LUNA 2/3-Doors;3796200;2015;2019;13;86109;Gasolina;110;1;Grey;0;1600;3;4;5;80750;0;1055;1;1;1;1;0;0;1;0;1;0;0
403;T-Delux 1.3 HB LINEA TERRA AUT 2/3-Doors;3965062;2015;2019;13;35821;Gasolina;86;0;Red;1;1300;3;4;5;18050;0;1015;1;1;1;0;0;0;0;0;0;0;0
404;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;3529440;2015;2019;13;123403;Gasolina;110;1;Green;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;0;0
405;T-Delux 1.6 16V VVT I LIFTB SOL 4/5-Doors;10573998;2018;2019;14;37389;Gasolina;110;1;Black;0;1600;5;4;5;80750;0;1080;1;1;1;1;0;1;1;0;1;0;0
406;T-Delux 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors;11582685;2018;2019;14;45600;Gasolina;110;1;Grey;1;1600;5;4;5;80750;0;1105;1;1;1;1;0;1;0;0;1;0;0
407;T-Delux 2.0 D4D HATCHB TERRA 2/3-Doors;10619100;2018;2019;14;57711;Diesel;90;1;Green;0;2000;3;4;5;199500;0;1165;1;1;1;1;0;1;0;0;1;0;0
408;T-Delux 1.6 16V VVT I LIFTB SOL 4/5-Doors;10299555;2018;2019;14;82743;CNG;110;1;Green;0;1600;5;4;5;187150;0;1121;1;1;1;1;0;1;1;0;1;0;0
409;T-Delux 1.6 16V VVT I LIFTB TERRA 4/5-Doors;9471975;2018;2019;14;50640;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
410;T-Delux 1.4 16V VVT I LIFTB LUNA 4/5-Doors;9832500;2018;2019;14;26000;Gasolina;97;1;Grey;0;1400;5;4;5;80750;0;1060;1;1;1;1;0;1;0;0;1;0;0
411;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;9922085;2018;2019;14;51732;Gasolina;97;1;Green;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
412;T-Delux 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors;9042266;2018;2019;14;29716;Gasolina;110;1;Silver;1;1600;3;4;5;80750;0;1070;1;1;1;1;0;0;0;0;1;0;0
413;T-Delux 2.0 D4D SEDAN SOL 4/5-Doors;7756987;2018;2019;14;180638;Diesel;90;0;Red;0;2000;4;4;5;199500;0;1160;1;1;1;1;0;1;1;0;1;0;0
414;T-Delux 1.6 16V VVT I WAGON TERRA Stationwagen;10827292;2017;2019;14;53268;Gasolina;110;1;Red;0;1600;5;4;5;80750;0;1080;1;1;1;1;0;1;0;0;1;0;0
415;T-Delux 1.6 16V VVT I HATCHB TERRA 2/3-Doors;8657730;2017;2019;14;82805;Gasolina;110;1;Green;0;1600;3;4;5;65550;0;1040;1;1;1;1;0;0;0;0;1;0;0
416;T-Delux 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors;7338963;2017;2019;14;74849;Gasolina;110;1;Red;1;1600;4;4;5;80750;0;1060;1;1;1;1;0;0;0;0;1;0;0
417;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;6985350;2017;2019;14;69813;Gasolina;97;1;Silver;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
418;T-Delux LIFTBACK 1.9 D Linea Terra 4/5-Doors;6461900;2017;2019;14;61000;Diesel;69;0;White;0;2000;5;4;5;175750;0;1140;1;1;1;0;0;0;0;0;0;0;0
419;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6583500;2016;2019;14;79150;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
420;T-Delux 1.3 16V LIFTB LINEA LUNA 4/5-Doors;6583500;2016;2019;14;47750;Gasolina;86;1;Blue;0;1300;5;4;5;65550;0;1040;1;1;1;1;0;0;1;0;1;1;0
421;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6961659;2016;2019;14;84549;Gasolina;110;0;Silver;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
422;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;5819343;2016;2019;14;75000;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
423;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;5441600;2016;2019;14;54875;Gasolina;110;1;Silver;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
424;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;5320000;2016;2019;14;91246;Gasolina;86;1;Silver;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;0;0
425;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;5601021;2016;2019;14;58829;Gasolina;110;0;Blue;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;0;1;0;0
426;T-Delux 2.0 DSL HATCHB LINEA TERRA 2/3-Doors;5103400;2016;2019;14;204250;Diesel;72;0;Black;0;2000;3;4;5;175750;0;1115;1;1;1;1;0;0;0;1;1;0;0
427;T-Delux 1.3-16V Luna 2/3-Doors;5101500;2016;2019;14;64966;Gasolina;86;0;Grey;0;1300;3;4;5;65550;0;1020;0;1;1;0;0;0;0;0;0;0;0
428;T-Delux 1.6 SD TERRA 4/5-Doors;5420343;2016;2019;14;43000;Gasolina;110;1;Silver;0;1600;5;4;5;65550;0;1035;0;1;0;0;0;0;0;0;0;0;0
429;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4662303;2016;2019;14;82000;Gasolina;86;1;Blue;0;1300;3;4;5;65550;0;1015;0;1;1;1;0;0;0;0;1;0;0
430;T-Delux 1.6 16V HATCHB GTSI 2/3-Doors;4929787;2015;2019;14;76000;Gasolina;110;0;Red;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;1;0
431;T-Delux 1.3 16V WAGON LINEA TERRA Stationwagen;5203530;2015;2019;14;138500;Gasolina;86;0;Grey;0;1300;5;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;0;0
432;T-Delux 1.6 16V WAGON LINEA TERRA Stationwagen;4488750;2015;2019;14;98742;Gasolina;110;0;Silver;0;1600;5;4;5;80750;0;1085;1;0;1;0;0;0;0;0;1;0;0
433;T-Delux 2.0 DSL HATCHB LINEA TERRA 2/3-Doors;4788000;2015;2019;14;89800;Diesel;72;1;Grey;0;2000;3;4;5;175750;0;1115;1;0;1;0;0;0;0;0;1;0;0
434;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4481625;2015;2019;14;73200;Gasolina;110;1;Black;0;1600;5;4;5;80750;0;1070;1;0;1;1;0;0;0;1;1;0;0
435;T-Delux 1.3 I LUNA 2/3-Doors;3109540;2015;2019;14;60600;Gasolina;86;0;White;0;1300;3;4;5;80750;0;1060;0;0;1;0;0;0;0;0;0;0;0
436;T-Delux 1.6 LB *G3* AIRCO 4/5-Doors;3052350;2015;2019;14;207114;CNG;110;1;Black;0;1600;5;4;5;187150;0;1114;0;0;1;1;0;0;0;0;1;0;0
437;T-Delux 1.6 16V VVT I LIFTB LUNA 4/5-Doors;10579770;2018;2019;15;51945;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
438;T-Delux 1.6 16V VVT I WAGON BLUE Stationwagen;10752385;2018;2019;15;67805;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
439;T-Delux 1.6 16V VVT I HATCHB TERRA 2/3-Doors;10752385;2018;2019;15;27301;Gasolina;110;1;Grey;0;1600;3;4;5;65550;0;1040;1;1;1;1;0;1;0;0;1;0;0
440;T-Delux 1.4 16V VVT I LIFTB LUNA 4/5-Doors;9963600;2018;2019;15;50000;Gasolina;97;1;Black;0;1400;5;4;5;80750;0;1060;0;1;1;1;0;1;0;0;1;0;0
441;T-Delux 1.6 16V VVT I LIFTB TERRA 4/5-Doors;9798941;2018;2019;15;41499;CNG;110;1;Green;0;1600;5;4;5;187150;0;1103;1;1;1;1;0;0;0;0;1;0;0
442;T-Delux 1.6 SDN LINEA TERRA 4/5-Doors;8684662;2018;2019;15;37000;Gasolina;110;0;Green;0;1600;4;4;5;18050;0;1075;1;1;1;0;0;0;0;0;0;0;0
443;T-Delux 1.8D Stationwagen;3474399;2018;2019;15;158320;Diesel;69;0;White;0;1800;5;4;5;60800;0;1110;0;1;1;0;0;1;0;0;0;0;0
444;T-Delux 1.6 16V VVT I SEDAN TERRA 4/5-Doors;9598538;2017;2019;15;58745;Gasolina;110;1;Blue;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;1;1;0;1;0;0
445;T-Delux 1.6 16V VVT I HATCHB G6 2/3-Doors;7800450;2017;2019;15;91340;Gasolina;110;1;Blue;0;1600;3;4;5;80750;0;1055;1;1;1;1;0;1;1;0;1;1;0
446;T-Delux 1.6 16V VVT I LIFTB TERRA 4/5-Doors;7986175;2017;2019;15;35823;Gasolina;110;0;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
447;T-Delux 1.6 16V VVT I SEDAN TERRA 4/5-Doors;8009188;2017;2019;15;77270;Gasolina;110;1;Blue;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;1;0;0
448;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;7992088;2017;2019;15;103454;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
449;T-Delux 1.6 16V VVT I LIFTB SOL 4/5-Doors;7992088;2017;2019;15;97234;Gasolina;110;0;Blue;0;1600;5;4;5;80750;0;1080;1;1;1;1;0;1;1;0;1;0;0
450;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;6944500;2017;2019;15;52000;Gasolina;97;0;Grey;0;1400;3;4;5;65550;0;1025;0;1;1;1;0;1;0;0;1;0;0
451;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;6909777;2017;2019;15;26221;Gasolina;97;1;Blue;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
452;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;7865287;2017;2019;15;63135;Gasolina;110;1;Blue;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;0;1;0;0
